Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30.0,No,Travel_Rarely,Research & Development,1.0,Below College,Life Sciences,Very High,Male,Medium,Officer,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,Excellent,High,2,10,1,Good,10,8,3,0
29.0,No,Travel_Rarely,Sales,8.0,Bachelor,Medical,Low,Male,Medium,Officer,Sales Executive,Medium,Divorced,4187,3356,1,Yes,13,Excellent,Medium,1,10,3,Good,10,0,0,9
59.0,No,Non-Travel,Human Resources,2.0,Master,Human Resources,High,Female,Medium,Senior Manager,Manager,Very High,Married,18844,21922,9,No,21,Outstanding,Very High,1,30,3,Better,3,2,2,2
36.0,No,Non-Travel,Research & Development,8.0,Bachelor,Life Sciences,Low,Female,Very High,Assistant Manager,Research Director,Low,Married,11713,20335,9,No,14,Excellent,Low,1,10,2,Better,8,7,0,5
29.0,Yes,Travel_Rarely,Research & Development,10.0,Bachelor,Life Sciences,Very High,Female,Medium,Staff,Research Scientist,Low,Single,2404,11479,6,Yes,20,Outstanding,High,0,3,5,Better,0,0,0,0
30.0,Yes,Travel_Frequently,Sales,12.0,Master,Life Sciences,Medium,Male,Medium,Staff,Sales Representative,Low,Married,2033,14470,1,No,18,Excellent,High,1,1,2,Best,1,0,0,0
50.0,No,Travel_Rarely,Research & Development,11.0,Bachelor,Life Sciences,High,Female,High,Senior Manager,Manager,Medium,Single,19926,17053,3,No,15,Excellent,Medium,0,21,5,Better,5,4,4,4
37.0,No,Travel_Rarely,Research & Development,1.0,College,Medical,High,Female,Medium,Staff,Research Scientist,Low,Married,3920,18697,2,No,14,Excellent,Low,1,17,2,Good,3,1,0,2
38.0,No,Travel_Rarely,Research & Development,25.0,College,Life Sciences,Low,Female,Medium,Assistant Manager,Research Director,Medium,Married,12061,26707,3,No,17,Excellent,High,1,19,2,Better,10,8,0,1
41.0,No,Non-Travel,Sales,10.0,College,Life Sciences,Very High,Male,High,Officer,Sales Executive,Very High,Single,6230,13430,7,No,14,Excellent,Very High,0,16,3,Better,14,3,1,10
29.0,No,Travel_Rarely,Research & Development,4.0,Bachelor,Technical Degree,Very High,Female,Medium,Staff,Research Scientist,Low,Divorced,2109,10007,1,No,13,Excellent,High,1,1,2,Better,1,0,0,0
45.0,No,Travel_Rarely,Research & Development,8.0,Master,Other,Very High,Male,High,Officer,Research Scientist,Very High,Married,3697,9278,9,No,14,Excellent,Low,2,12,3,Better,10,9,9,8
37.0,No,Non-Travel,Sales,4.0,Bachelor,Medical,Medium,Male,High,Officer,Sales Executive,High,Married,4221,8863,1,No,15,Excellent,Medium,0,5,3,Best,5,4,0,4
29.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,Low,Male,High,Officer,Healthcare Representative,Low,Married,5373,6225,0,No,12,Excellent,Low,1,6,5,Good,5,3,0,2
42.0,No,Travel_Rarely,Research & Development,2.0,College,Medical,Very High,Male,High,Manager,Manager,Low,Married,17665,14399,0,No,17,Excellent,Very High,1,23,3,Better,22,6,13,7
48.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,Medium,Senior Manager,Research Director,Very High,Single,18265,8733,6,No,12,Excellent,High,0,25,3,Best,1,0,0,0
20.0,Yes,Travel_Frequently,Research & Development,6.0,Bachelor,Life Sciences,Very High,Female,Medium,Staff,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,Excellent,Medium,0,1,5,Better,1,0,1,0
31.0,No,Travel_Rarely,Research & Development,9.0,Below College,Life Sciences,High,Male,High,Assistant Manager,Manufacturing Director,Medium,Divorced,10648,14394,1,No,25,Outstanding,Very High,1,13,6,Best,13,8,0,8
41.0,No,Non-Travel,Human Resources,4.0,Bachelor,Human Resources,High,Male,Low,Officer,Human Resources,Medium,Married,6430,20794,6,No,19,Excellent,Medium,1,10,4,Better,3,2,1,2
29.0,Yes,Travel_Rarely,Human Resources,13.0,Bachelor,Human Resources,Low,Male,Medium,Staff,Human Resources,Low,Divorced,2335,3157,4,Yes,15,Excellent,Very High,3,4,3,Better,2,2,2,0
42.0,No,Travel_Rarely,Sales,4.0,Master,Marketing,Medium,Male,High,Officer,Sales Executive,Low,Single,5155,2253,7,No,13,Excellent,Very High,0,9,3,Best,6,4,1,5
36.0,No,Travel_Rarely,Sales,11.0,Master,Marketing,Medium,Female,Medium,Officer,Sales Executive,Very High,Married,6652,14369,4,No,13,Excellent,Low,1,8,2,Good,6,3,0,0
37.0,No,Travel_Rarely,Research & Development,16.0,College,Medical,Medium,Male,Very High,Officer,Healthcare Representative,Low,Single,5661,4824,0,No,19,Excellent,High,0,9,2,Better,8,3,0,7
32.0,Yes,Travel_Rarely,Sales,1.0,College,Life Sciences,Low,Male,Low,Officer,Sales Executive,Medium,Single,6735,12147,6,No,15,Excellent,Medium,0,10,2,Better,0,0,0,0
36.0,No,Travel_Rarely,Research & Development,26.0,Master,Life Sciences,Low,Male,High,Officer,Healthcare Representative,High,Married,5347,7419,6,No,14,Excellent,Medium,2,10,2,Good,3,2,0,2
42.0,No,Travel_Rarely,Research & Development,1.0,Master,Life Sciences,Medium,Female,High,Staff,Laboratory Technician,Low,Divorced,2576,20490,3,No,16,Excellent,Medium,1,8,5,Better,5,2,1,2
43.0,No,Travel_Rarely,Sales,16.0,Bachelor,Marketing,Very High,Female,High,Manager,Manager,Very High,Married,16064,7744,5,Yes,22,Outstanding,High,1,22,3,Better,17,13,1,9
36.0,No,Travel_Rarely,Sales,2.0,Master,Life Sciences,High,Female,High,Officer,Sales Representative,Very High,Single,4502,7439,3,No,15,Excellent,High,0,17,2,Good,13,7,6,7
37.0,No,Non-Travel,Research & Development,8.0,College,Life Sciences,Medium,Male,Very High,Officer,Healthcare Representative,Low,Divorced,4000,18384,1,No,12,Excellent,Very High,2,6,2,Better,6,3,1,5
36.0,No,Non-Travel,Research & Development,24.0,Master,Life Sciences,Medium,Female,High,Officer,Laboratory Technician,Medium,Married,5674,6927,7,No,15,Excellent,High,1,11,3,Better,9,8,0,8
36.0,No,Travel_Frequently,Sales,11.0,College,Technical Degree,Medium,Female,High,Assistant Manager,Sales Executive,Very High,Married,9738,22952,0,No,14,Excellent,High,1,10,6,Better,9,7,2,8
38.0,No,Travel_Frequently,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,High,Officer,Research Scientist,Very High,Married,4735,9867,7,No,15,Excellent,Very High,2,19,4,Best,13,11,2,9
33.0,No,Travel_Rarely,Research & Development,1.0,Master,Other,High,Male,Medium,Staff,Research Scientist,Low,Single,2799,3339,3,Yes,11,Excellent,Medium,0,6,1,Better,3,2,0,2
45.0,No,Travel_Frequently,Research & Development,7.0,Master,Life Sciences,Low,Male,Very High,Officer,Manufacturing Director,High,Married,6434,5118,4,No,17,Excellent,Very High,1,9,1,Better,3,2,0,2
27.0,No,Travel_Rarely,Sales,2.0,College,Medical,Low,Female,Very High,Officer,Sales Executive,High,Single,6500,26997,0,No,14,Excellent,Medium,0,9,5,Good,8,7,0,7
34.0,Yes,Travel_Rarely,Sales,24.0,Master,Medical,Low,Female,Medium,Officer,Sales Executive,Medium,Single,4599,7815,0,Yes,23,Outstanding,High,0,16,2,Best,15,9,10,10
29.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Life Sciences,High,Male,High,Staff,Research Scientist,Medium,Married,2703,4956,0,No,23,Outstanding,Very High,1,6,3,Better,5,4,0,4
32.0,No,Travel_Rarely,Sales,6.0,Master,Medical,Medium,Male,High,Officer,Sales Executive,High,Single,5010,24301,1,No,16,Excellent,Low,0,12,0,Better,11,8,5,7
46.0,No,Travel_Rarely,Sales,8.0,Below College,Marketing,Low,Male,High,Manager,Manager,High,Married,17465,15596,3,No,12,Excellent,Very High,1,23,3,Better,12,9,4,9
39.0,Yes,Travel_Rarely,Sales,8.0,Bachelor,Technical Degree,Very High,Male,High,Officer,Sales Representative,Very High,Married,2086,3335,3,No,14,Excellent,High,1,19,6,Best,1,0,0,0
44.0,No,Travel_Rarely,Research & Development,28.0,Bachelor,Life Sciences,Very High,Male,High,Manager,Research Director,Low,Married,16328,22074,3,No,13,Excellent,High,1,24,1,Best,20,6,14,17
40.0,No,Travel_Rarely,Research & Development,6.0,Bachelor,Life Sciences,Medium,Female,High,Manager,Manufacturing Director,High,Single,13237,20364,7,No,15,Excellent,High,0,22,3,Better,20,6,5,13
55.0,No,Travel_Rarely,Sales,18.0,Doctor,Life Sciences,Low,Female,High,Manager,Manager,Medium,Single,16835,9873,3,No,23,Outstanding,Very High,0,37,2,Better,10,9,7,7
41.0,No,Travel_Frequently,Research & Development,9.0,Bachelor,Medical,Low,Male,High,Senior Manager,Research Director,High,Divorced,19419,3735,2,No,17,Excellent,Medium,1,21,2,Best,18,16,0,11
43.0,Yes,Travel_Rarely,Sales,9.0,Bachelor,Marketing,Low,Female,Low,Officer,Sales Executive,High,Single,5346,9489,8,No,13,Excellent,Medium,0,7,2,Good,4,3,1,3
38.0,No,Travel_Rarely,Sales,16.0,Bachelor,Life Sciences,Medium,Female,High,Officer,Sales Executive,Medium,Single,4198,16379,2,No,12,Excellent,Medium,0,8,5,Best,3,2,1,2
29.0,Yes,Travel_Rarely,Sales,9.0,Bachelor,Marketing,Medium,Female,Low,Staff,Sales Representative,Medium,Single,2760,14630,1,No,13,Excellent,High,0,2,3,Better,2,2,2,2
37.0,No,Travel_Rarely,Research & Development,7.0,Bachelor,Other,High,Male,Very High,Staff,Laboratory Technician,Low,Single,3578,23577,0,No,12,Excellent,Very High,0,8,2,Better,7,7,0,7
45.0,No,Travel_Rarely,Research & Development,6.0,Master,Other,Very High,Male,High,Assistant Manager,Research Director,Low,Married,13245,15067,4,Yes,14,Excellent,Medium,0,17,3,Best,0,0,0,0
34.0,No,Travel_Rarely,Research & Development,1.0,College,Medical,Low,Male,High,Officer,Manufacturing Director,Medium,Married,4325,17736,1,No,15,Excellent,High,0,5,2,Better,5,2,1,3
38.0,No,Travel_Frequently,Research & Development,7.0,Bachelor,Life Sciences,Very High,Male,Very High,Staff,Research Scientist,High,Divorced,2610,15748,1,No,11,Excellent,Very High,3,4,2,Better,4,2,0,3
55.0,No,Travel_Rarely,Sales,1.0,College,Life Sciences,Low,Male,High,Assistant Manager,Sales Executive,Very High,Married,10239,18092,3,No,14,Excellent,Very High,1,24,4,Better,1,0,1,0
18.0,Yes,Travel_Frequently,Sales,8.0,Bachelor,Marketing,Medium,Male,High,Staff,Sales Representative,Medium,Single,1878,8059,1,Yes,14,Excellent,Very High,0,0,3,Better,0,0,0,0
40.0,No,Travel_Rarely,Research & Development,15.0,Bachelor,Life Sciences,Low,Female,Medium,Assistant Manager,Manufacturing Director,High,Married,10435,25800,1,No,13,Excellent,Very High,2,18,2,Better,18,15,14,12
37.0,No,Travel_Rarely,Research & Development,21.0,Below College,Life Sciences,Very High,Female,High,Officer,Healthcare Representative,Very High,Married,4014,19170,1,Yes,25,Outstanding,Very High,1,10,2,Bad,10,6,0,7
37.0,No,Non-Travel,Research & Development,1.0,Bachelor,Life Sciences,High,Female,Low,Officer,Laboratory Technician,Very High,Married,6674,16392,0,No,11,Excellent,Low,3,10,6,Better,9,8,7,5
20.0,No,Travel_Rarely,Sales,9.0,Below College,Life Sciences,Very High,Male,High,Staff,Sales Representative,Low,Single,2728,21082,1,No,11,Excellent,Low,0,2,3,Better,2,2,0,2
33.0,Yes,Travel_Rarely,Research & Development,10.0,Below College,Medical,Low,Male,Low,Staff,Laboratory Technician,Very High,Divorced,3408,6705,7,No,13,Excellent,Low,3,8,2,Better,4,3,1,3
31.0,No,Travel_Rarely,Research & Development,11.0,Master,Life Sciences,Very High,Male,High,Staff,Research Scientist,Very High,Married,2356,14871,3,Yes,19,Excellent,Medium,1,8,2,Better,6,4,0,2
40.0,No,Travel_Rarely,Research & Development,20.0,Master,Technical Degree,Low,Male,High,Assistant Manager,Healthcare Representative,Very High,Married,10322,26542,4,No,20,Outstanding,Very High,1,14,6,Better,11,10,11,1
50.0,No,Travel_Frequently,Research & Development,2.0,Bachelor,Medical,Very High,Female,High,Manager,Manager,Low,Married,17856,9490,2,No,22,Outstanding,High,1,32,3,Better,2,2,2,2
27.0,No,Travel_Frequently,Research & Development,2.0,Bachelor,Medical,Very High,Male,High,Staff,Research Scientist,Very High,Single,2580,6297,2,No,13,Excellent,High,0,6,0,Good,4,2,1,2
37.0,No,Travel_Rarely,Research & Development,17.0,College,Medical,High,Male,High,Officer,Laboratory Technician,Low,Divorced,4558,13535,1,No,12,Excellent,Very High,1,10,2,Better,10,0,1,8
36.0,No,Travel_Rarely,Research & Development,10.0,Bachelor,Life Sciences,Very High,Male,High,Assistant Manager,Healthcare Representative,Low,Married,8321,25949,7,Yes,13,Excellent,Very High,1,15,1,Better,12,8,5,7
53.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Medical,Very High,Male,Very High,Manager,Research Director,Medium,Single,16598,19764,4,No,12,Excellent,Medium,0,35,2,Good,9,8,8,8
42.0,No,Travel_Rarely,Research & Development,13.0,Bachelor,Medical,Medium,Male,Very High,Officer,Healthcare Representative,Low,Married,5538,5696,5,No,18,Excellent,High,2,10,2,Good,0,0,0,0
37.0,No,Non-Travel,Research & Development,2.0,College,Life Sciences,High,Male,Medium,Officer,Healthcare Representative,Very High,Divorced,5163,15850,5,No,14,Excellent,Very High,1,17,2,Best,1,0,0,0
43.0,No,Travel_Rarely,Research & Development,14.0,College,Life Sciences,Medium,Male,High,Manager,Research Director,Low,Married,17159,5200,6,No,24,Outstanding,High,1,22,3,Better,4,1,1,0
23.0,No,Travel_Rarely,Research & Development,1.0,College,Life Sciences,Very High,Male,High,Staff,Research Scientist,High,Married,1223,16901,1,No,22,Outstanding,Very High,1,1,2,Better,1,0,0,1
52.0,No,Travel_Rarely,Research & Development,8.0,Master,Other,High,Female,High,Staff,Laboratory Technician,Low,Married,2950,17363,9,No,13,Excellent,High,0,12,2,Bad,5,4,0,4
29.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,Low,Female,High,Staff,Research Scientist,Very High,Divorced,3760,5598,1,No,15,Excellent,Low,3,3,5,Better,3,2,1,2
50.0,No,Travel_Rarely,Research & Development,7.0,College,Medical,Medium,Female,Medium,Senior Manager,Research Director,High,Divorced,18740,16701,5,Yes,12,Excellent,Very High,1,29,2,Good,27,3,13,8
42.0,No,Travel_Rarely,Sales,1.0,Below College,Life Sciences,Medium,Male,High,Officer,Sales Executive,High,Married,4907,24532,1,No,25,Outstanding,High,0,20,3,Better,20,16,11,6
34.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Medical,Medium,Male,Very High,Officer,Laboratory Technician,High,Married,4404,10228,2,No,12,Excellent,Low,0,6,3,Best,4,3,1,2
32.0,No,Travel_Rarely,Sales,4.0,College,Life Sciences,High,Female,High,Staff,Sales Representative,Medium,Married,3931,20990,2,No,11,Excellent,Low,1,6,5,Better,4,3,1,2
38.0,No,Travel_Rarely,Sales,8.0,Bachelor,Life Sciences,Low,Male,High,Assistant Manager,Sales Executive,High,Divorced,10609,9647,0,No,12,Excellent,High,2,17,6,Good,16,10,5,13
30.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Technical Degree,Very High,Female,High,Staff,Research Scientist,Low,Divorced,3204,10415,5,No,14,Excellent,Very High,1,8,3,Better,3,2,2,2
56.0,No,Travel_Rarely,Sales,11.0,Doctor,Marketing,Very High,Female,Medium,Officer,Sales Executive,Low,Married,5380,20328,4,No,16,Excellent,High,1,6,3,Better,0,0,0,0
27.0,No,Travel_Rarely,Research & Development,1.0,College,Medical,Very High,Male,High,Staff,Laboratory Technician,Medium,Divorced,3816,17881,1,No,11,Excellent,Medium,1,5,2,Better,5,2,0,4
36.0,No,Travel_Rarely,Research & Development,8.0,College,Life Sciences,Low,Female,High,Staff,Laboratory Technician,Very High,Divorced,2835,2561,5,No,22,Outstanding,Low,1,7,2,Better,1,0,0,0
40.0,No,Travel_Rarely,Research & Development,2.0,College,Life Sciences,High,Female,High,Staff,Laboratory Technician,Low,Married,3377,25605,4,No,17,Excellent,Very High,1,7,5,Good,4,3,0,2
37.0,Yes,Travel_Frequently,Research & Development,10.0,Bachelor,Medical,Low,Male,High,Assistant Manager,Manufacturing Director,High,Divorced,10048,22573,6,No,11,Excellent,Medium,2,17,5,Better,1,0,0,0
33.0,No,Non-Travel,Research & Development,1.0,College,Medical,Medium,Male,Medium,Staff,Laboratory Technician,High,Divorced,2008,20439,1,No,12,Excellent,High,3,1,2,Good,1,1,0,0
36.0,No,Travel_Rarely,Research & Development,27.0,Bachelor,Medical,High,Male,High,Officer,Healthcare Representative,High,Married,5237,16577,6,No,13,Excellent,Medium,2,17,3,Good,7,7,7,7
39.0,No,Travel_Frequently,Research & Development,8.0,Below College,Life Sciences,High,Female,High,Staff,Laboratory Technician,High,Married,3755,17872,1,No,11,Excellent,Low,1,8,3,Better,8,3,0,7
36.0,No,Non-Travel,Sales,8.0,Master,Technical Degree,Low,Male,High,Officer,Sales Executive,Very High,Divorced,5079,25952,4,No,13,Excellent,Very High,2,12,3,Better,7,7,0,7
37.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,Low,Female,High,Officer,Manufacturing Director,High,Married,4898,7505,0,No,12,Excellent,Very High,2,5,3,Better,4,2,1,2
36.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Other,High,Female,High,Officer,Manufacturing Director,Medium,Married,5228,23361,0,No,15,Excellent,Low,1,10,2,Better,9,7,0,5
37.0,No,Travel_Rarely,Research & Development,10.0,Master,Life Sciences,High,Male,High,Officer,Manufacturing Director,Medium,Single,4197,21123,2,Yes,12,Excellent,Very High,0,18,2,Good,1,0,0,1
51.0,No,Travel_Frequently,Sales,9.0,Bachelor,Life Sciences,Very High,Male,High,Senior Manager,Manager,Medium,Divorced,19847,19196,4,Yes,24,Outstanding,Low,1,31,5,Good,29,10,11,10
49.0,No,Travel_Rarely,Research & Development,22.0,Master,Other,Low,Female,High,Manager,Research Director,Medium,Married,16413,3498,3,No,16,Excellent,Medium,2,27,2,Better,4,2,1,2
37.0,No,Non-Travel,Research & Development,2.0,Master,Life Sciences,Very High,Female,High,Officer,Healthcare Representative,Low,Divorced,5093,4761,2,No,11,Excellent,Low,1,16,2,Best,1,0,0,0
43.0,Yes,Travel_Frequently,Research & Development,17.0,Bachelor,Technical Degree,High,Male,Medium,Staff,Research Scientist,High,Married,2437,15587,9,Yes,16,Excellent,Very High,1,6,4,Better,1,0,0,0
33.0,No,Travel_Frequently,Sales,7.0,Bachelor,Life Sciences,Very High,Female,High,Officer,Sales Executive,Medium,Married,4302,13401,0,No,17,Excellent,High,1,4,3,Better,3,2,0,2
37.0,No,Travel_Rarely,Sales,29.0,College,Medical,Low,Male,High,Officer,Sales Executive,High,Divorced,4306,4267,5,No,12,Excellent,Low,2,8,5,Better,0,0,0,0
46.0,No,Travel_Rarely,Research & Development,7.0,College,Medical,Very High,Male,High,Assistant Manager,Manufacturing Director,High,Divorced,10845,24208,6,No,13,Excellent,Medium,1,13,3,Better,8,7,0,7
56.0,Yes,Travel_Rarely,Research & Development,24.0,College,Life Sciences,Low,Male,High,Staff,Laboratory Technician,Very High,Single,2587,10261,1,No,16,Excellent,Very High,0,5,3,Better,4,2,1,0
32.0,No,Travel_Frequently,Sales,9.0,College,Medical,Very High,Male,Low,Officer,Sales Executive,Very High,Divorced,4668,22812,0,No,17,Excellent,Very High,3,9,2,Best,8,7,0,7
30.0,No,Travel_Frequently,Research & Development,8.0,Bachelor,Medical,High,Female,High,Staff,Research Scientist,High,Divorced,2083,22653,1,No,20,Outstanding,High,1,1,2,Better,1,0,0,0
30.0,Yes,Travel_Rarely,Sales,1.0,Bachelor,Life Sciences,Medium,Male,Medium,Officer,Sales Executive,Low,Married,9714,5323,1,No,11,Excellent,Very High,1,10,4,Better,10,8,6,7
27.0,No,Travel_Rarely,Research & Development,2.0,Master,Life Sciences,Low,Female,High,Officer,Manufacturing Director,Very High,Married,4227,4658,0,No,18,Excellent,Medium,1,4,2,Better,3,2,2,2
42.0,No,Travel_Rarely,Research & Development,6.0,Bachelor,Medical,High,Male,High,Assistant Manager,Research Director,Low,Married,13348,14842,9,No,13,Excellent,Medium,1,18,3,Best,13,7,5,7
20.0,Yes,Travel_Rarely,Research & Development,11.0,Bachelor,Medical,Very High,Female,Medium,Staff,Research Scientist,Low,Single,2600,18275,1,Yes,15,Excellent,Low,0,1,2,Better,1,0,0,0
50.0,No,Travel_Rarely,Sales,8.0,Master,Marketing,Very High,Male,High,Staff,Sales Representative,Medium,Married,3875,9983,7,No,15,Excellent,Very High,1,4,2,Better,2,2,2,2
19.0,Yes,Travel_Rarely,Research & Development,2.0,Bachelor,Life Sciences,Medium,Male,Medium,Staff,Laboratory Technician,Very High,Single,1102,9241,1,No,22,Outstanding,High,0,1,3,Good,1,0,1,0
31.0,No,Travel_Rarely,Sales,2.0,College,Life Sciences,Low,Male,High,Staff,Sales Representative,High,Married,3067,6393,0,No,19,Excellent,High,1,3,1,Better,2,2,1,2
29.0,No,Travel_Frequently,Sales,20.0,Bachelor,Technical Degree,High,Female,High,Staff,Sales Representative,Very High,Married,2157,18203,1,No,15,Excellent,Medium,1,3,5,Better,3,1,0,2
42.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Life Sciences,Very High,Male,High,Staff,Laboratory Technician,High,Single,3968,13624,4,No,13,Excellent,Very High,0,8,3,Better,0,0,0,0
36.0,No,Travel_Rarely,Sales,10.0,Master,Technical Degree,Medium,Female,Medium,Officer,Sales Executive,High,Married,5673,6060,1,Yes,13,Excellent,Low,1,10,4,Better,10,9,1,7
42.0,Yes,Travel_Frequently,Sales,12.0,Bachelor,Life Sciences,High,Male,High,Manager,Sales Executive,Low,Single,13758,2447,0,Yes,12,Excellent,Medium,0,22,2,Good,21,9,13,14
46.0,No,Travel_Rarely,Sales,2.0,Bachelor,Marketing,High,Female,High,Manager,Manager,Low,Married,17048,24097,8,No,23,Outstanding,Low,0,28,2,Better,26,15,15,9
39.0,No,Travel_Rarely,Sales,24.0,Below College,Marketing,Medium,Female,Medium,Manager,Sales Executive,Very High,Married,12031,8828,0,No,11,Excellent,Low,1,21,2,Good,20,9,9,6
30.0,No,Travel_Rarely,Research & Development,24.0,Below College,Life Sciences,Very High,Male,High,Staff,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Outstanding,Medium,1,1,2,Better,1,0,0,0
36.0,No,Travel_Rarely,Research & Development,4.0,Master,Life Sciences,Low,Male,Medium,Officer,Laboratory Technician,Very High,Single,5810,22604,1,No,16,Excellent,High,0,10,2,Good,10,4,1,8
41.0,Yes,Travel_Rarely,Research & Development,2.0,Master,Life Sciences,Medium,Female,Low,Staff,Laboratory Technician,Very High,Divorced,2778,17725,4,Yes,13,Excellent,High,1,10,1,Good,7,7,1,0
22.0,No,Non-Travel,Research & Development,26.0,College,Other,Medium,Female,Medium,Staff,Research Scientist,High,Married,2814,10293,1,Yes,14,Excellent,Medium,0,4,2,Good,4,2,1,3
21.0,Yes,Travel_Frequently,Sales,1.0,Below College,Technical Degree,Low,Female,Medium,Staff,Sales Representative,Medium,Single,2174,9150,1,Yes,11,Excellent,High,0,3,3,Better,3,2,1,2
41.0,No,Travel_Rarely,Research & Development,7.0,College,Technical Degree,Medium,Female,Very High,Staff,Research Scientist,High,Married,3376,18863,1,No,13,Excellent,High,0,10,3,Better,10,6,0,8
37.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Medical,Very High,Male,Medium,Staff,Laboratory Technician,Low,Single,2450,21731,1,No,19,Excellent,Medium,0,3,3,Better,3,0,1,2
47.0,No,Travel_Rarely,Research & Development,8.0,Doctor,Life Sciences,Very High,Male,High,Senior Manager,Research Director,High,Married,18300,16375,4,No,11,Excellent,Medium,1,21,2,Better,3,2,1,1
45.0,No,Travel_Rarely,Research & Development,20.0,Bachelor,Medical,Medium,Male,Low,Assistant Manager,Healthcare Representative,Low,Divorced,10851,19863,2,Yes,18,Excellent,Medium,1,24,2,Better,7,7,0,7
29.0,No,Travel_Frequently,Research & Development,2.0,Below College,Life Sciences,Low,Male,High,Officer,Healthcare Representative,Very High,Divorced,8853,24483,1,No,19,Excellent,Very High,1,6,0,Best,6,4,1,3
37.0,No,Travel_Rarely,Sales,8.0,Bachelor,Other,Very High,Female,Medium,Staff,Sales Representative,High,Single,2966,21378,0,No,18,Excellent,Very High,0,5,2,Better,4,2,0,0
51.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,High,Male,High,Staff,Research Scientist,Very High,Married,2723,23231,1,No,11,Excellent,Medium,0,1,0,Good,1,0,0,0
34.0,No,Travel_Frequently,Research & Development,22.0,Master,Other,High,Male,Medium,Officer,Research Scientist,Very High,Married,5747,26496,1,Yes,15,Excellent,Medium,0,16,3,Better,15,10,6,11
37.0,No,Travel_Rarely,Research & Development,9.0,Master,Life Sciences,High,Male,Medium,Officer,Healthcare Representative,Medium,Single,6540,19394,9,No,19,Excellent,High,0,10,5,Better,1,1,0,0
40.0,Yes,Travel_Rarely,Research & Development,9.0,Master,Life Sciences,Very High,Male,High,Staff,Laboratory Technician,Low,Single,2018,21831,3,No,14,Excellent,Medium,0,15,3,Bad,5,4,1,0
42.0,No,Travel_Frequently,Research & Development,26.0,Doctor,Medical,Low,Female,High,Assistant Manager,Research Director,Low,Married,13191,23281,3,Yes,17,Excellent,High,0,20,6,Better,1,0,0,0
38.0,No,Travel_Rarely,Research & Development,8.0,Doctor,Technical Degree,Very High,Female,High,Officer,Research Scientist,High,Single,4317,2302,3,Yes,20,Outstanding,Medium,0,19,2,Better,3,2,2,2
24.0,Yes,Travel_Rarely,Sales,8.0,College,Life Sciences,Low,Female,High,Officer,Sales Executive,High,Single,4577,24785,9,No,14,Excellent,Low,0,4,3,Better,2,2,2,0
39.0,No,Travel_Rarely,Sales,6.0,Bachelor,Medical,Very High,Male,Very High,Assistant Manager,Sales Executive,High,Married,8237,4658,2,No,11,Excellent,Low,1,11,3,Better,7,6,7,6
40.0,No,Travel_Rarely,Research & Development,1.0,Master,Life Sciences,Medium,Male,High,Staff,Laboratory Technician,Medium,Married,2387,6762,3,No,22,Outstanding,High,1,7,3,Better,4,2,0,3
45.0,No,Travel_Rarely,Research & Development,1.0,Master,Technical Degree,Low,Male,High,Assistant Manager,Healthcare Representative,Medium,Divorced,7441,20933,1,No,12,Excellent,Low,3,10,4,Better,10,8,7,7
40.0,No,Travel_Rarely,Research & Development,2.0,Master,Medical,High,Female,High,Staff,Research Scientist,High,Married,2001,12549,2,No,14,Excellent,Medium,3,20,2,Better,5,3,0,2
34.0,Yes,Travel_Frequently,Human Resources,23.0,Bachelor,Human Resources,Medium,Female,High,Assistant Manager,Human Resources,Low,Divorced,9950,11533,9,Yes,15,Excellent,High,3,11,2,Better,3,2,0,2
32.0,No,Travel_Rarely,Research & Development,8.0,College,Life Sciences,High,Female,High,Assistant Manager,Research Director,Very High,Single,11159,19373,3,No,15,Excellent,Very High,0,10,6,Better,7,7,7,7
50.0,No,Travel_Rarely,Research & Development,17.0,Doctor,Life Sciences,Very High,Female,Medium,Assistant Manager,Research Director,Low,Divorced,13269,21981,5,No,15,Excellent,High,3,19,3,Better,14,11,1,11
